Anel,Progressiva (m),Tempo total anel (s),Tempo total anel (h),Tempo escavacao anel (s),Tempo escavacao anel (h),Energia especifica (MJ/m3) (media),Velocidade de Avanco (mm/min) (media),Torque(MNm) (media),Empuxo (kN) (media),Taxa de Penetracao (mm/rev) (media),Rotacao da Cabeca de Corte (RPM) (media),Forca de Contato (kN) (media),agua Livre (L.min) (media),FER (media),FIR (%) (media),anel,Massa de material escavado (teorica) (ton) (max),Massa de material escavado (balanca 1) (ton) (max),Diferenca  balanca 1 (ton),Massa de material escavado (balanca 2) (ton)  (max),Diferenca  balanca 2 (ton),Pressao de terra (media dos sensores) (bar) (media),Pressao de terra (S1) (bar) (media),Pressao de terra (S2)(bar) (media),Pressao de terra (S3) (bar) (media),Pressao de terra (S4) (bar) (media),Pressao de terra (S5) (bar) (media),Pressao de terra (S6) (bar) (media),Injecao de grout total (L) (max),Material Calota,Material Eixo,Material Base,Face mista
1125,12472.5682,14332,3.981111111,4301,1.194722222,78.57846977,20.80356047,2.693306977,18003.0099,8.441869767,2.463539535,12607.59625,141.4491116,11.36359535,101.1563442,1125,115.091,95.847,-19.244,90.522,-24.569,1.434734884,1.373490698,1.467086047,1.723602326,1.709525581,1.498804651,1.399318605,4354.659,4Ag2,4Ag2,4Ag2,nao
1126,12474.0682,14847,4.124166667,5360,1.488888889,102.6203116,16.21110634,2.730722015,19719.03387,6.540524254,2.474901119,13925.52159,154.5703769,11.3133097,114.6074795,1126,111.221,99.521,-11.7,96.284,-14.937,1.558134328,1.423589552,1.632210821,2.025869403,1.98863806,1.725779851,1.451128731,4675.587,4Ag2,4Ag2,4Ag2,nao
1127,12475.5682,10957,3.043611111,5084,1.412222222,81.4573937,17.28776378,2.48219685,18250.09062,6.954185039,2.312309055,13339.30764,114.212128,15.60457677,134.1441024,1127,113.084,100.907,-12.177,102.121,-10.963,1.464220472,1.410582677,1.497559055,1.720395669,1.742661417,1.521177165,1.427435039,4277.546,4Ag2,4Ag2,4Ag2,nao
1128,12477.0682,9043,2.511944444,4255,1.181944444,68.91227765,20.94755529,3.017065882,18219.24688,10.44833412,2.003712941,15965.3466,176.8218729,9.95596,135.5936871,1128,111.988,120.566,8.578,121.667,9.679,1.436672941,1.349781176,1.493197647,1.713964706,1.711623529,1.508990588,1.394456471,4338.774,4Ag2,4Ag2,4Ag2,nao
1129,12478.5682,10731,2.980833333,4316,1.198888889,73.88239443,20.45935035,3.114570766,17858.67614,10.15632251,2.014881671,14850.22096,115.8483759,10.51845012,140.1634687,1129,112.538,102.396,-10.142,105.096,-7.442,1.339828306,1.303816705,1.358482599,1.481547564,1.500343387,1.363976798,1.333348028,4514.544,4Ag2,4Ag2,4Ag2,nao
1130,12480.0682,14601,4.055833333,4453,1.236944444,76.91698652,19.80181348,3.113559551,17880.45401,9.789593258,2.017413483,13922.91403,95.48159551,11.18712809,150.1769685,1130,112.973,105.284,-7.689,109.184,-3.789,1.349575281,1.316635955,1.374355056,1.480869663,1.492802247,1.361033708,1.34621573,4630.319,4Ag2,4Ag2,4Ag2,nao
1131,12481.5682,12070,3.352777778,4668,1.296666667,86.92891631,19.21057082,2.796390558,18200.91006,7.632487124,2.516684549,14006.04848,155.7560279,11.05635622,119.8046888,1131,112.05,99.678,-12.372,103.262,-8.788,1.429583691,1.371019313,1.471261803,1.674787554,1.628757511,1.471197425,1.404800429,4788.136,4Ag2,4Ag2,4Ag2,nao
1132,12483.0682,15988,4.441111111,4904,1.362222222,96.1348449,18.06024898,2.853365306,17982.12901,7.101967347,2.542997959,13746.10319,160.2234918,11.39256939,126.6902327,1132,113.452,90.768,-22.684,88.168,-25.284,1.419612245,1.340789796,1.464902041,1.744753061,1.727371429,1.511636735,1.360893878,4508.92,4Ag2,4Ag2,4Ag2,nao
1133,12484.5682,186208,51.72444444,4687,1.301944444,82.30923454,18.36796588,2.732520256,20128.16908,8.652238806,2.131191898,12463.1793,87.67465458,12.10381663,140.9937548,1133,112.614,87.204,-25.41,87.304,-25.31,1.444298507,1.348904051,1.501285714,1.646206823,1.750684435,1.54406823,1.383371002,4687.622,4Ag2,4Ag2,4Ag2,nao
1134,12486.0682,24334,6.759444444,6021,1.6725,98.90129568,14.85648007,2.987212625,21186.15437,7.347865449,2.02167608,13028.37561,136.0062691,13.28907143,163.9418771,1134,113,99.44,-13.56,86.74,-26.26,1.31104485,1.26823588,1.338106312,1.495460133,1.503171096,1.344725914,1.293048173,4545.173,4Ag2,4Ag2,4Ag2,nao
