Anel,Progressiva (m),Tempo total anel (s),Tempo total anel (h),Tempo escavacao anel (s),Tempo escavacao anel (h),Energia especifica (MJ/m3) (media),Velocidade de Avanco (mm/min) (media),Torque(MNm) (media),Empuxo (kN) (media),Taxa de Penetracao (mm/rev) (media),Rotacao da Cabeca de Corte (RPM) (media),Forca de Contato (kN) (media),agua Livre (L.min) (media),FER (media),FIR (%) (media),Massa de material escavado (teorica) (ton) (max),Massa de material escavado (balanca 1) (ton) (max),Diferenca  balanca 1 (ton),Massa de material escavado (balanca 2) (ton)  (max),Diferenca  balanca 2 (ton),Pressao de terra (media dos sensores) (bar) (media),Pressao de terra (S1) (bar) (media),Pressao de terra (S2)(bar) (media),Pressao de terra (S3) (bar) (media),Pressao de terra (S4) (bar) (media),Pressao de terra (S5) (bar) (media),Pressao de terra (S6) (bar) (media),Injecao de grout total (L) (max),Material Calota,Material Eixo,Material Base,Mat,Material,Composicao da frente,Materiais na frente,Torque/Forca de contato,S1-S2,S1-S3
1,10521,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ar2,3Ar2,3Ar2 3Ar2 3Ar2,3Ar2,,1,,,
2,10522.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ar2,3Ar2,3Ar2 3Ar2 3Ar2,3Ar2,,1,,,
3,10524,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ar2,3Ar2,3Ar2 3Ar2 3Ar2,3Ar2,,1,,,
4,10525.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
5,10527,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
6,10528.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
7,10530,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
8,10531.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
9,10533,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
10,10534.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
11,10536,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
12,10537.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
13,10539,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
14,10540.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
15,10542,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
16,10543.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
17,10545,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
18,10546.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
19,10548,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
20,10549.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
21,10551,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
22,10552.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
23,10554,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
24,10555.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
25,10557,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
26,10558.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
27,10560,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
28,10561.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
29,10563,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
30,10564.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
31,10566,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
32,10567.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
33,10569,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
34,10570.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
35,10572,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
36,10573.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
37,10575,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
38,10576.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
39,10578,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
40,10579.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
41,10581,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
42,10582.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
43,10584,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
44,10585.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
45,10587,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
46,10588.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
47,10590,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
48,10591.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
49,10593,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
50,10594.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
51,10596,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
52,10597.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
53,10599,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ar2,3Ag1 3Ar2 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
54,10600.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
55,10602,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
56,10603.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ag1,3Ar2,3Ag1 3Ag1 3Ar2,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
57,10605,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
58,10606.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
59,10608,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
60,10609.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
61,10611,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
62,10612.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
63,10614,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
64,10615.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
65,10617,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
66,10618.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
67,10620,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
68,10621.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
69,10623,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
70,10624.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
71,10626,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
72,10627.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
73,10629,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
74,10630.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
75,10632,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
76,10633.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
77,10635,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
78,10636.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
79,10638,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
80,10639.5,20672,5.742222222,2817,0.7825,34.57677385,30.00553004,1.864519435,21143.76268,15.03834982,1.995466431,14747.582,81.29173498,7.167823322,50.44771731,106.028,100.913,-5.115,95.928,-10.1,,,,,,,,4406.72,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,24.99741205,,
81,10641,433258,120.3494444,3064,0.851111111,41.94134314,25.60271242,1.94380719,20720.14476,12.79843791,1.999624183,14180.69692,62.96191503,10.90333333,51.07048693,93.585,81.018,-12.567,72.702,-20.883,,,,,,,,6113.925,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,25.0586733,,
82,10642.5,33340,9.261111111,3366,0.935,62.2856994,24.18656845,2.047122024,21629.0158,11.98709524,2.023321429,14864.74671,41.9366369,8.506895833,68.93361012,109.17,118.024,8.854,113.526,4.356,,,,,,,,7230.318,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,27.66359125,,
83,10644,30264,8.406666667,2314,0.642777778,32.83161905,36.1144026,2.265848485,20664.601,17.55025108,2.057225108,15276.78052,47.09405195,6.368844156,36.14363636,103.797,102.912,-0.885,102.652,-1.145,,,,,,,,5121.732,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,31.46806363,,
84,10645.5,29812,8.281111111,3033,0.8425,49.3160033,27.68274917,2.311369637,20768.94029,14.05691749,1.948184818,16267.42918,93.00822112,9.188524752,46.25888449,104.238,98.564,-5.674,108.313,4.075,,,,,,,,6209.067,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,34.18185625,,
85,10647,409700,113.8055556,3306,0.918333333,60.6318697,27.14794242,2.380251515,20904.22987,12.96570909,2.095230303,16400.03215,81.12575758,7.7185,60.10146667,118.341,117.052,-1.289,112.351,-5.99,,,,,,,,4358.513,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,35.48745579,,
86,10648.5,22477,6.243611111,3131,0.869722222,49.25070927,25.9174345,2.032063898,21917.68114,12.60883706,2.051904153,15985.60733,27.93222364,10.68197125,74.5733738,106.839,109.205,2.366,96.206,-10.633,,,,,,,,5461.823,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,29.53070504,,
87,10650,17599,4.888611111,3150,0.875,69.53946497,22.27569745,2.168853503,21902.58668,11.19974841,1.987815287,16012.3136,48.18367197,28.37006369,168.2235955,89.558,202.615,113.057,179.489,89.931,,,,,,,,5244.881,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,31.57123858,,
88,10651.5,22952,6.375555556,3669,1.019166667,44.02448501,23.01220981,1.733618529,22454.30727,10.86424796,2.108833787,16124.55576,47.87946049,10.5700545,91.27519619,105.875,110.979,5.104,99.908,-5.967,,,,,,,,4591.976,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,25.41257149,,
89,10653,15556,4.321111111,3181,0.883611111,34.94233438,27.05490221,1.72155205,18840.92567,12.73123659,2.123744479,13181.25619,59.4846183,9.947293375,60.19868454,109.755,117.084,7.329,106.037,-3.718,,,,,,,,5080.96,3Ar2,3Ag1,3Ag1,3Ar2 3Ag1 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,20.62928965,,
90,10654.5,18468,5.13,3216,0.893333333,34.15611526,29.18604361,1.713975078,18882.41219,14.49865732,2.008012461,11892.44194,5.941080997,13.25710903,42.08727103,117.522,102.936,-14.586,96.258,-21.264,,,,,,,,4838.069,3Ar2,3Ag1,3Ag1,3Ar2 3Ag1 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,18.53031737,,
91,10656,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ag1,3Ar2 3Ag1 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
92,10657.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ag1,3Ar2 3Ag1 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
93,10659,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ag1,3Ar2 3Ag1 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
94,10660.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
95,10662,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
96,10663.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
97,10665,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
98,10666.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
99,10668,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
100,10669.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
101,10671,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
102,10672.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
103,10674,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ag1,3Ar2 3Ag1 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
104,10675.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ag1,3Ar2 3Ag1 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
105,10677,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ag1,3Ar2 3Ag1 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
106,10678.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ag1,3Ar2 3Ag1 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
107,10680,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ag1,3Ar2 3Ag1 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
108,10681.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ag1,3Ar2 3Ag1 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
109,10683,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ar2,3Ag1,3Ar2 3Ar2 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
110,10684.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ar2,3Ag1,3Ar2 3Ar2 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
111,10686,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ar2,3Ag1,3Ar2 3Ar2 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
112,10687.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ar2,3Ag1,3Ar2 3Ar2 3Ag1,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
113,10689,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ag1,3Ag1 3Ar2 3Ag1,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
114,10690.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ag1,3Ag1 3Ar2 3Ag1,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
115,10692,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar2,3Ag1,3Ag1 3Ar2 3Ag1,3Ag1 3Ar2,3Ag 3Ar,2 ou mais,,,
116,10693.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar1,3Ag1,3Ag1 3Ar1 3Ag1,3Ag1 3Ar1,3Ag 3Ar,2 ou mais,,,
117,10695,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar1,3Ag1,3Ag1 3Ar1 3Ag1,3Ag1 3Ar1,3Ag 3Ar,2 ou mais,,,
118,10696.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar1,3Ag1,3Ag1 3Ar1 3Ag1,3Ag1 3Ar1,3Ag 3Ar,2 ou mais,,,
119,10698,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar1,3Ag1,3Ag1 3Ar1 3Ag1,3Ag1 3Ar1,3Ag 3Ar,2 ou mais,,,
120,10699.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar1,3Ag1,3Ag1 3Ar1 3Ag1,3Ag1 3Ar1,3Ag 3Ar,2 ou mais,,,
121,10701,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar1,3Ag1,3Ag1 3Ar1 3Ag1,3Ag1 3Ar1,3Ag 3Ar,2 ou mais,,,
122,10702.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ag1,3Ar1,3Ag1,3Ag1 3Ar1 3Ag1,3Ag1 3Ar1,3Ag 3Ar,2 ou mais,,,
123,10704,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar1,3Ar1,3Ag1,3Ar1 3Ar1 3Ag1,3Ar1 3Ag1 ,3Ag 3Ar,2 ou mais,,,
124,10705.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar1,3Ar1,3Ag1,3Ar1 3Ar1 3Ag1,3Ar1 3Ag1 ,3Ag 3Ar,2 ou mais,,,
