Anel,Progressiva (m),Tempo total anel (s),Tempo total anel (h),Tempo escavacao anel (s),Tempo escavacao anel (h),Energia especifica (MJ/m3) (media),Velocidade de Avanco (mm/min) (media),Torque(MNm) (media),Empuxo (kN) (media),Taxa de Penetracao (mm/rev) (media),Rotacao da Cabeca de Corte (RPM) (media),Forca de Contato (kN) (media),agua Livre (L.min) (media),FER (media),FIR (%) (media),Massa de material escavado (teorica) (ton) (max),Massa de material escavado (balanca 1) (ton) (max),Diferenca  balanca 1 (ton),Massa de material escavado (balanca 2) (ton)  (max),Diferenca  balanca 2 (ton),Pressao de terra (media dos sensores) (bar) (media),Pressao de terra (S1) (bar) (media),Pressao de terra (S2)(bar) (media),Pressao de terra (S3) (bar) (media),Pressao de terra (S4) (bar) (media),Pressao de terra (S5) (bar) (media),Pressao de terra (S6) (bar) (media),Injecao de grout total (L) (max),Material Calota,Material Eixo,Material Base,Mat,Material,Composicao da frente,Materiais na frente,Torque/Forca de contato,S1-S2,S1-S3
1109,12446,4066,1.129444444,2360,0.655555556,38.49223305,37.86272034,3.112207627,12881.6009,18.95112712,1.997135593,10980.88608,167.9200424,10.86661864,87.98792797,113.774,107.608,-6.166,104.849,-8.925,1.339360169,1.292326271,1.353190678,1.394211864,1.532161017,1.461495763,1.250834746,4815.024,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,31.06799764,-0.060864407,-0.101885593
1110,12447.5,7037,1.954722222,2382,0.661666667,40.79379325,35.7487173,3.133324895,13099.99176,17.87541772,1.999831224,10811.74666,156.7693418,13.88227004,97.92542616,107.955,100.701,-7.254,100.323,-7.632,1.28749789,1.254097046,1.320371308,1.42935443,1.407400844,1.370924051,1.204995781,4777.056,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,30.79701361,-0.066274262,-0.175257384
1111,12449,118702,32.97277778,2024,0.562222222,38.20035644,43.15226238,2.920485149,11892.20165,18.6670198,2.30469802,9898.874832,160.4318713,10.67142079,81.87189604,110.375,94.041,-16.334,95.601,-14.774,1.049891089,0.992678218,1.068331683,1.175856436,1.290732673,1.190084158,0.94880198,5170.287,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,26.28137904,-0.075653465,-0.183178218
1112,12450.5,14956,4.154444444,2564,0.712222222,52.37443359,34.70891406,2.883335938,13285.21239,14.49295703,2.394988281,10800.37174,166.9955586,81.39032422,299.9860078,115.955,124.449,8.494,130.053,14.098,1.308605469,1.182953125,1.378,1.508535156,1.604429688,1.509320313,1.164882813,6705.773,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,28.31009089,-0.195046875,-0.325582031
1113,12452,10068,2.796666667,2158,0.599444444,38.45764651,40.92466512,2.858413953,13603.99983,17.24984186,2.372390698,10581.91454,179.3224977,11.54584651,84.7736,113.183,110.561,-2.622,110.894,-2.289,1.242381395,1.201665116,1.255065116,1.272339535,1.413781395,1.359265116,1.153474419,6828.176,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,27.49772016,-0.0534,-0.070674419
1114,12453.5,17869,4.963611111,2651,0.736388889,43.4224566,31.07963019,2.831950943,13854.97529,15.56276981,1.996264151,10835.25201,172.7004528,12.8880717,138.7040038,107.513,97.86,-9.653,94.414,-13.099,1.263750943,1.19069434,1.304015094,1.42554717,1.469573585,1.391301887,1.169301887,7713.773,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,27.89536559,-0.113320754,-0.23485283
1115,12455,5805,1.6125,2943,0.8175,42.9299966,30.8272449,2.870748299,13810.03662,15.60567687,1.975360544,10694.92625,92.55395238,13.39304422,134.3978163,117.419,106.418,-11.001,101.38,-16.039,1.21027551,1.150397959,1.249608844,1.33487415,1.382312925,1.316302721,1.124816327,6416.442,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,27.91131031,-0.099210885,-0.184476191
1116,12456.5,5086,1.412777778,2688,0.746666667,64.90139925,32.06248134,3.162119403,13828.9,16.22755224,1.975850746,10912.31005,49.71872388,12.23956343,119.2315224,110.703,98.541,-12.162,100.755,-9.948,1.278570896,1.252869403,1.30011194,1.396059701,1.359753731,1.346746269,1.214507463,6228.882,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,31.36911576,-0.047242537,-0.143190298
1117,12458,35443,9.845277778,4119,1.144166667,58.69902676,20.27567397,2.761442822,12540.89525,11.00711436,1.835038929,9393.573431,33.46443796,18.84656934,275.0022822,110.663,95.365,-15.298,93.735,-16.928,1.051150852,1.035900243,1.074625304,1.160124088,1.084812652,1.092226277,1.001776156,5667.061,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,23.58165084,-0.038725061,-0.124223845
1118,12459.5,8699,2.416388889,4335,1.204166667,66.64104157,19.98022171,2.876360277,13009.04821,10.2411224,1.951108545,10394.16771,3.895418014,17.02712702,248.3508499,112.908,94.219,-18.689,94.82,-18.088,1.16026097,1.133228637,1.178960739,1.283163972,1.293688222,1.241406467,1.087371824,5134.291,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,27.17942829,-0.045732102,-0.149935335
